rat_id,music_type,time_point,date,number,filename
rat_001,gamma,before,251125,17,datafile251125_017_raw.mat
rat_001,gamma,during_a,251125,20,datafile251125_020_raw.mat
rat_001,gamma,during_b,251125,24,datafile251125_024_raw.mat
rat_001,gamma,after,251125,27,datafile251125_027_raw.mat
rat_001,control,before,251125,5,datafile251125_005_raw.mat
rat_001,control,during_a,251125,8,datafile251125_008_raw.mat
rat_001,control,during_b,251125,10,datafile251125_010_raw.mat
rat_001,control,after,251125,13,datafile251125_013_raw.mat
rat_001,conventional,before,251125,31,datafile251125_031_raw.mat
rat_001,conventional,during_a,251125,34,datafile251125_034_raw.mat
rat_001,conventional,during_b,251125,38,datafile251125_038_raw.mat
rat_001,conventional,after,251125,41,datafile251125_041_raw.mat
rat_002,gamma,before,251204,36,datafile251204_036_raw.mat
rat_002,gamma,during_a,251204,39,datafile251204_039_raw.mat
rat_002,gamma,during_b,251204,43,datafile251204_043_raw.mat
rat_002,gamma,after,251204,46,datafile251204_046_raw.mat
rat_002,control,before,251204,22,datafile251204_022_raw.mat
rat_002,control,during_a,251204,25,datafile251204_025_raw.mat
rat_002,control,during_b,251204,29,datafile251204_029_raw.mat
rat_002,control,after,251204,32,datafile251204_032_raw.mat
rat_002,conventional,before,251204,5,datafile251204_005_raw.mat
rat_002,conventional,during_a,251204,11,datafile251204_011_raw.mat
rat_002,conventional,during_b,251204,15,datafile251204_015_raw.mat
rat_002,conventional,after,251204,18,datafile251204_018_raw.mat
rat_003,gamma,before,251206,4,datafile251206_004_raw.mat
rat_003,gamma,during_a,251206,8,datafile251206_008_raw.mat
rat_003,gamma,during_b,251206,12,datafile251206_012_raw.mat
rat_003,gamma,after,251206,15,datafile251206_015_raw.mat
rat_003,control,before,251206,32,datafile251206_032_raw.mat
rat_003,control,during_a,251206,35,datafile251206_035_raw.mat
rat_003,control,during_b,251206,39,datafile251206_039_raw.mat
rat_003,control,after,251206,42,datafile251206_042_raw.mat
rat_003,conventional,before,251206,18,datafile251206_018_raw.mat
rat_003,conventional,during_a,251206,21,datafile251206_021_raw.mat
rat_003,conventional,during_b,251206,25,datafile251206_025_raw.mat
rat_003,conventional,after,251206,28,datafile251206_028_raw.mat
rat_004,gamma,before,251213,18,datafile251213_018_raw.mat
rat_004,gamma,during_a,251213,21,datafile251213_021_raw.mat
rat_004,gamma,during_b,251213,25,datafile251213_025_raw.mat
rat_004,gamma,after,251213,28,datafile251213_028_raw.mat
rat_004,control,before,251213,32,datafile251213_032_raw.mat
rat_004,control,during_a,251213,36,datafile251213_036_raw.mat
rat_004,control,during_b,251213,40,datafile251213_040_raw.mat
rat_004,control,after,251213,43,datafile251213_043_raw.mat
rat_004,conventional,before,251213,4,datafile251213_004_raw.mat
rat_004,conventional,during_a,251213,7,datafile251213_007_raw.mat
rat_004,conventional,during_b,251213,11,datafile251213_011_raw.mat
rat_004,conventional,after,251213,14,datafile251213_014_raw.mat
rat_005,gamma,before,251219,36,datafile251219_036_raw.mat
rat_005,gamma,during_a,251219,39,datafile251219_039_raw.mat
rat_005,gamma,during_b,251219,43,datafile251219_043_raw.mat
rat_005,gamma,after,251219,46,datafile251219_046_raw.mat
rat_005,control,before,251219,8,datafile251219_008_raw.mat
rat_005,control,during_a,251219,11,datafile251219_011_raw.mat
rat_005,control,during_b,251219,15,datafile251219_015_raw.mat
rat_005,control,after,251219,18,datafile251219_018_raw.mat
rat_005,conventional,before,251219,22,datafile251219_022_raw.mat
rat_005,conventional,during_a,251219,25,datafile251219_025_raw.mat
rat_005,conventional,during_b,251219,29,datafile251219_029_raw.mat
rat_005,conventional,after,251219,32,datafile251219_032_raw.mat
rat_006,gamma,before,251220,4,datafile251220_004_raw.mat
rat_006,gamma,during_a,251220,7,datafile251220_007_raw.mat
rat_006,gamma,during_b,251220,11,datafile251220_011_raw.mat
rat_006,gamma,after,251220,14,datafile251220_014_raw.mat
rat_006,control,before,251220,18,datafile251220_018_raw.mat
rat_006,control,during_a,251220,21,datafile251220_021_raw.mat
rat_006,control,during_b,251220,25,datafile251220_025_raw.mat
rat_006,control,after,251220,28,datafile251220_028_raw.mat
rat_006,conventional,before,251220,32,datafile251220_032_raw.mat
rat_006,conventional,during_a,251220,35,datafile251220_035_raw.mat
rat_006,conventional,during_b,251220,39,datafile251220_039_raw.mat
rat_006,conventional,after,251220,42,datafile251220_042_raw.mat
rat_007,gamma,before,251225,17,datafile251225_017_raw.mat
rat_007,gamma,during_a,251225,20,datafile251225_020_raw.mat
rat_007,gamma,during_b,251225,24,datafile251225_024_raw.mat
rat_007,gamma,after,251225,27,datafile251225_027_raw.mat
rat_007,control,before,251225,3,datafile251225_003_raw.mat
rat_007,control,during_a,251225,6,datafile251225_006_raw.mat
rat_007,control,during_b,251225,10,datafile251225_010_raw.mat
rat_007,control,after,251225,13,datafile251225_013_raw.mat
rat_007,conventional,before,251225,31,datafile251225_031_raw.mat
rat_007,conventional,during_a,251225,34,datafile251225_034_raw.mat
rat_007,conventional,during_b,251225,38,datafile251225_038_raw.mat
rat_007,conventional,after,251225,41,datafile251225_041_raw.mat
rat_008,gamma,before,251227,33,datafile251227_033_raw.mat
rat_008,gamma,during_a,251227,36,datafile251227_036_raw.mat
rat_008,gamma,during_b,251227,40,datafile251227_040_raw.mat
rat_008,gamma,after,251227,43,datafile251227_043_raw.mat
rat_008,control,before,251227,19,datafile251227_019_raw.mat
rat_008,control,during_a,251227,22,datafile251227_022_raw.mat
rat_008,control,during_b,251227,26,datafile251227_026_raw.mat
rat_008,control,after,251227,29,datafile251227_029_raw.mat
rat_008,conventional,before,251227,5,datafile251227_005_raw.mat
rat_008,conventional,during_a,251227,8,datafile251227_008_raw.mat
rat_008,conventional,during_b,251227,12,datafile251227_012_raw.mat
rat_008,conventional,after,251227,15,datafile251227_015_raw.mat
rat_009,gamma,before,251229,3,datafile251229_003_raw.mat
rat_009,gamma,during_a,251229,6,datafile251229_006_raw.mat
rat_009,gamma,during_b,251229,10,datafile251229_010_raw.mat
rat_009,gamma,after,251229,13,datafile251229_013_raw.mat
rat_009,control,before,251229,31,datafile251229_031_raw.mat
rat_009,control,during_a,251229,34,datafile251229_034_raw.mat
rat_009,control,during_b,251229,38,datafile251229_038_raw.mat
rat_009,control,after,251229,41,datafile251229_041_raw.mat
rat_009,conventional,before,251229,17,datafile251229_017_raw.mat
rat_009,conventional,during_a,251229,20,datafile251229_020_raw.mat
rat_009,conventional,during_b,251229,24,datafile251229_024_raw.mat
rat_009,conventional,after,251229,27,datafile251229_027_raw.mat
rat_010,gamma,before,260105,22,datafile260105_022_raw.mat
rat_010,gamma,during_a,260105,25,datafile260105_025_raw.mat
rat_010,gamma,during_b,260105,29,datafile260105_029_raw.mat
rat_010,gamma,after,260105,32,datafile260105_032_raw.mat
rat_010,control,before,260105,36,datafile260105_036_raw.mat
rat_010,control,during_a,260105,39,datafile260105_039_raw.mat
rat_010,control,during_b,260105,43,datafile260105_043_raw.mat
rat_010,control,after,260105,46,datafile260105_046_raw.mat
rat_010,conventional,before,260105,8,datafile260105_008_raw.mat
rat_010,conventional,during_a,260105,11,datafile260105_011_raw.mat
rat_010,conventional,during_b,260105,15,datafile260105_015_raw.mat
rat_010,conventional,after,260105,18,datafile260105_018_raw.mat
rat_011,gamma,before,260109,37,datafile260109_037_raw.mat
rat_011,gamma,during_a,260109,40,datafile260109_040_raw.mat
rat_011,gamma,during_b,260109,44,datafile260109_044_raw.mat
rat_011,gamma,after,260109,47,datafile260109_047_raw.mat
rat_011,control,before,260109,8,datafile260109_008_raw.mat
rat_011,control,during_a,260109,11,datafile260109_011_raw.mat
rat_011,control,during_b,260109,16,datafile260109_016_raw.mat
rat_011,control,after,260109,19,datafile260109_019_raw.mat
rat_011,conventional,before,260109,23,datafile260109_023_raw.mat
rat_011,conventional,during_a,260109,26,datafile260109_026_raw.mat
rat_011,conventional,during_b,260109,30,datafile260109_030_raw.mat
rat_011,conventional,after,260109,33,datafile260109_033_raw.mat
rat_012,gamma,before,260202,9,datafile260202_009_raw.mat
rat_012,gamma,during_a,260202,12,datafile260202_012_raw.mat
rat_012,gamma,during_b,260202,16,datafile260202_016_raw.mat
rat_012,gamma,after,260202,19,datafile260202_019_raw.mat
rat_012,control,before,260202,23,datafile260202_023_raw.mat
rat_012,control,during_a,260202,26,datafile260202_026_raw.mat
rat_012,control,during_b,260202,30,datafile260202_030_raw.mat
rat_012,control,after,260202,33,datafile260202_033_raw.mat
rat_012,conventional,before,260202,37,datafile260202_037_raw.mat
rat_012,conventional,during_a,260202,40,datafile260202_040_raw.mat
rat_012,conventional,during_b,260202,44,datafile260202_044_raw.mat
rat_012,conventional,after,260202,47,datafile260202_047_raw.mat
rat_013,gamma,before,260216,21,datafile260216_021_raw.mat
rat_013,gamma,during_a,260216,24,datafile260216_024_raw.mat
rat_013,gamma,during_b,260216,28,datafile260216_028_raw.mat
rat_013,gamma,after,260216,31,datafile260216_031_raw.mat
rat_013,control,before,260216,7,datafile260216_007_raw.mat
rat_013,control,during_a,260216,10,datafile260216_010_raw.mat
rat_013,control,during_b,260216,14,datafile260216_014_raw.mat
rat_013,control,after,260216,17,datafile260216_017_raw.mat
rat_013,conventional,before,260216,35,datafile260216_035_raw.mat
rat_013,conventional,during_a,260216,38,datafile260216_038_raw.mat
rat_013,conventional,during_b,260216,42,datafile260216_042_raw.mat
rat_013,conventional,after,260216,45,datafile260216_045_raw.mat
rat_014,gamma,before,260309,35,datafile260309_035_raw.mat
rat_014,gamma,during_a,260309,38,datafile260309_038_raw.mat
rat_014,gamma,during_b,260309,42,datafile260309_042_raw.mat
rat_014,gamma,after,260309,45,datafile260309_045_raw.mat
rat_014,control,before,260309,21,datafile260309_021_raw.mat
rat_014,control,during_a,260309,24,datafile260309_024_raw.mat
rat_014,control,during_b,260309,28,datafile260309_028_raw.mat
rat_014,control,after,260309,31,datafile260309_031_raw.mat
rat_014,conventional,before,260309,7,datafile260309_007_raw.mat
rat_014,conventional,during_a,260309,10,datafile260309_010_raw.mat
rat_014,conventional,during_b,260309,14,datafile260309_014_raw.mat
rat_014,conventional,after,260309,17,datafile260309_017_raw.mat
rat_015,gamma,before,260316,5,datafile260316_005_raw.mat
rat_015,gamma,during_a,260316,8,datafile260316_008_raw.mat
rat_015,gamma,during_b,260316,12,datafile260316_012_raw.mat
rat_015,gamma,after,260316,15,datafile260316_015_raw.mat
rat_015,control,before,260316,33,datafile260316_033_raw.mat
rat_015,control,during_a,260316,36,datafile260316_036_raw.mat
rat_015,control,during_b,260316,40,datafile260316_040_raw.mat
rat_015,control,after,260316,43,datafile260316_043_raw.mat
rat_015,conventional,before,260316,19,datafile260316_019_raw.mat
rat_015,conventional,during_a,260316,22,datafile260316_022_raw.mat
rat_015,conventional,during_b,260316,26,datafile260316_026_raw.mat
rat_015,conventional,after,260316,29,datafile260316_029_raw.mat